127.0.0.1 - - [18/Nov/2017:21:52:01 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/MyTitleServlet HTTP/1.1" 200 12468
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/commentContainer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/container.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/libraryContainer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/js/pretreatment.js HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/css/common.css HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/js/treatment.js HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/img/zjl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/video/video.mp4 HTTP/1.1" 206 12348834
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:02 +0800] "GET /Blog_jsp/video/video.mp4 HTTP/1.1" 200 12783010
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:03 +0800] "GET /Blog_jsp/video/video.mp4 HTTP/1.1" 206 12307874
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:03 +0800] "GET /Blog_jsp/video/video.mp4 HTTP/1.1" 206 12307874
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:15 +0800] "GET /Blog_jsp/MyTitleServlet HTTP/1.1" 200 10562
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:15 +0800] "GET /Blog_jsp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:15 +0800] "GET /Blog_jsp/js/pretreatment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:15 +0800] "GET /Blog_jsp/js/treatment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:16 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:22 +0800] "POST /Blog_jsp/SignInCheckServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:22 +0800] "GET /Blog_jsp/jsp/Index.jsp?isQuitSignIn=true HTTP/1.1" 200 12458
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:26 +0800] "POST /Blog_jsp/jsp/signUp.jsp HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:26 +0800] "GET /Blog_jsp/css/signUp.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:26 +0800] "GET /Blog_jsp/jsp/images/bg.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [18/Nov/2017:21:52:46 +0800] "POST /Blog_jsp/SignUpCheckServlet HTTP/1.1" 200 2304
